Title,Type,Episodes,Status,Start airing,End airing,Starting season,Broadcast time,Producers,Licensors,Studios,Sources,Genres,Duration,Rating,Score,Scored by,Members,Favorites
Fullmetal Alchemist: Brotherhood,TV,64,Finished Airing,4/5/2009,7/4/2010,Spring,0,"{aniplex,square enix,mainichi broadcasting system,studio moriken}","{funimation,aniplex of america}",Bones,Manga,"{action,military,adventure,comedy,drama,magic,fantasy,shounen}",24,R,9.25,719706,1176368,105387
Kimi no Na wa.,Movie,1,Finished Airing,8/26/2016,null,null,null,"{kadokawa shoten,toho,sound team don juan,lawson hmv entertainment,amuse,east japan marketing & communications}","{funimation,nyav post}",CoMix Wave Films,Original,"{supernatural,drama,romance,school}",106,PG-13,9.19,454969,705186,33936
Gintama°,TV,51,Finished Airing,4/8/2015,3/30/2016,Spring,3,"{tv tokyo,aniplex,dentsu}","{funimation,crunchyroll}",Bandai Namco Pictures,Manga,"{action,comedy,historical,parody,samurai,sci-fi,shounen}",24,R,9.16,70279,194359,5597
Steins;Gate 0,TV,23,Currently Airing,4/12/2018,null,Spring,4,{nitroplus},{funimation},White Fox,Visual novel,"{sci-fi,thriller}",23,PG-13,9.16,12609,186331,1117
Steins;Gate,TV,24,Finished Airing,4/6/2011,9/14/2011,Spring,3,"{frontier works,media factory,movic,at-x,kadokawa pictures japan,nitroplus}",{funimation},White Fox,Visual novel,"{sci-fi,thriller}",24,PG-13,9.14,552791,990419,90365
Ginga Eiyuu Densetsu,OVA,110,Finished Airing,1/8/1988,3/17/1997,null,null,{kitty films},{sentai filmworks},"Artland,Magic Bus",Novel,"{military,sci-fi,space,drama}",26,R,9.11,28452,121772,8370
Gintama',TV,51,Finished Airing,4/4/2011,3/26/2012,Spring,1,"{tv tokyo,aniplex,dentsu,trinity sound,miracle robo,studio jack,shueisha}",null,Sunrise,Manga,"{action,sci-fi,comedy,historical,parody,samurai,shounen}",24,PG-13,9.11,90758,212238,4533
Hunter x Hunter (2011),TV,148,Finished Airing,10/2/2011,9/24/2014,Fall,0,"{vap,nippon television network,shueisha}",{viz media},Madhouse,Manga,"{action,adventure,super power,shounen}",23,PG-13,9.11,395162,705225,63324
3-gatsu no Lion 2nd Season,TV,22,Finished Airing,10/14/2017,3/31/2018,Fall,6,"{aniplex,dentsu,nhk,hakusensha,asmik ace entertainment,toy's factory}",{aniplex of america},Shaft,Manga,"{drama,game,seinen,slice of life}",25,PG-13,9.1,26284,80166,1961
Gintama': Enchousen,TV,13,Finished Airing,10/4/2012,3/28/2013,Fall,4,"{tv tokyo,aniplex,dentsu,shueisha,miracle bus}",null,Sunrise,Manga,"{action,comedy,historical,parody,samurai,sci-fi,shounen}",24,PG-13,9.07,62582,121612,1498
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Movie,1,Finished Airing,7/6/2013,null,null,null,"{tv tokyo,aniplex,dentsu,bandai,warner bros.,shueisha}",null,Sunrise,Manga,"{action,sci-fi,comedy,historical,parody,samurai,shounen}",110,PG-13,9.04,60295,104021,1374
Koe no Katachi,Movie,1,Finished Airing,9/17/2016,null,null,null,"{shochiku,pony canyon,kodansha,abc animation,quaras}",{nyav post},Kyoto Animation,Manga,"{drama,school,shounen}",130,PG-13,9.04,283214,491799,18911
Owarimonogatari 2nd Season,TV,7,Finished Airing,8/12/2017,8/13/2017,Summer,null,"{aniplex,kodansha}",{aniplex of america},Shaft,Light novel,"{mystery,comedy,supernatural,vampire}",22,R,9.03,40936,109651,2372
Gintama.,TV,12,Finished Airing,1/9/2017,3/27/2017,Winter,1,"{tv tokyo,aniplex,dentsu,shueisha}",null,Bandai Namco Pictures,Manga,"{action,comedy,historical,parody,samurai,sci-fi,shounen}",24,PG-13,9.02,39493,89409,1222
